"","type","age","year","data","SE"
"1009","model",4,2015,447.13117072819,19.1073756702782
"1010","model",5,2015,590.537326277059,17.1103810148998
"1011","model",6,2015,685.960594117262,14.042011892656
"1012","model",7,2015,783.971642251708,10.3362609886891
"1013","model",8,2015,904.983009227861,17.2133608058599
"1014","model",9,2015,1165.67065574838,35.7591606755928
"1015","model",10,2015,1202.69803986527,51.6651786234127
"1016","model",11,2015,1494.15196294248,135.428783069096
"1017","model",12,2015,1552.86604428749,136.013211187045
"1018","model",13,2015,1456.72292975898,105.98145438183
"1019","model",14,2015,1465.82757936891,134.946668886308
"1020","model",15,2015,1692.85919478605,97.5237035860767
"1036","model",1,2016,23.0706337821794,1.4376653292674
"1037","model",2,2016,79.8693889660523,6.82976920065069
"1038","model",3,2016,306.571341629222,27.2283032501682
"1039","model",4,2016,530.769130605784,11.4377558343292
"1040","model",5,2016,600.449015817909,19.7562094193465
"1041","model",6,2016,695.805155836029,19.341179530945
"1042","model",7,2016,775.930784060475,17.4487694912492
"1043","model",8,2016,825.756811099446,14.2607253402779
"1044","model",9,2016,903.339860656936,29.4120316131154
"1045","model",10,2016,1003.49866920668,51.1084606736719
"1046","model",11,2016,1126.9213845286,83.7091785527494
"1047","model",12,2016,1613.79469408074,240.006826259465
"1048","model",13,2016,1349.18723833764,226.208169239714
"1049","model",14,2016,1524.06039598346,252.621908977225
"1050","model",15,2016,1410.39680013447,185.776522055169
"1066","model",1,2017,20.0776801405077,1.14024624880086
"1067","model",2,2017,91.8963499039586,6.37577477515087
"1068","model",3,2017,263.182955338957,20.5785555178422
"1069","model",4,2017,474.500278540231,12.69704783482
"1070","model",5,2017,624.495756419923,12.9037322437519
"1071","model",6,2017,673.006980690541,17.5736679758864
"1072","model",7,2017,755.92016422652,22.7258755833993
"1073","model",8,2017,811.442654056278,26.1705798077201
"1074","model",9,2017,887.269826334097,31.2871037354013
"1075","model",10,2017,909.799185443763,42.3231115787456
"1076","model",11,2017,1044.37693266773,67.6474401135018
"1077","model",12,2017,996.212070642631,100.341243970621
"1078","model",13,2017,1262.11100727532,264.432858253794
"1079","model",14,2017,1090.44416061913,308.79829175255
"1080","model",15,2017,1458.55792009701,187.644431415431
"1096","model",1,2018,22.1956572351833,0.956913986845293
"1097","model",2,2018,92.0641618626025,5.86477865743965
"1098","model",3,2018,246.730109629624,27.2687582919621
"1099","model",4,2018,432.670378235253,24.1160480720561
"1100","model",5,2018,592.923822831366,11.206712778402
"1101","model",6,2018,686.82975188759,12.6889751325838
