"","Year","age","awwaa","awwaa_kg"
"530","2017",14,1090.44416061914,1.09044416061914
"531","2019",14,1006.85944020974,1.00685944020974
"532","1982",15,2531.46272084972,2.53146272084973
"533","1983",15,1926.66837234316,1.92666837234316
"534","1984",15,2043.42111472775,2.04342111472775
"535","1985",15,2354.47753654438,2.35447753654438
"536","1987",15,2124.53259469583,2.12453259469583
"537","1988",15,1699.20356237921,1.69920356237921
"538","1989",15,1371.69867977203,1.37169867977203
"539","1990",15,1649.69956784928,1.64969956784928
"540","1991",15,1822.91677285031,1.82291677285031
"541","1992",15,1646.13963379169,1.64613963379169
"542","1993",15,1746.32076807072,1.74632076807072
"543","1994",15,1729.0098580031,1.7290098580031
"544","1995",15,1714.59164246585,1.71459164246585
"545","1996",15,1749.59587249085,1.74959587249085
"546","1997",15,1724.63007545513,1.72463007545513
"547","1998",15,1824.30626314242,1.82430626314242
"548","1999",15,1934.39487044635,1.93439487044635
"549","2000",15,1922.14419443973,1.92214419443973
"550","2001",15,1807.03908035188,1.80703908035188
"551","2002",15,1855.33246823676,1.85533246823676
"552","2003",15,1633.09925634753,1.63309925634753
"553","2004",15,1661.20326442764,1.66120326442764
"554","2005",15,1566.66551779126,1.56666551779126
"555","2006",15,1489.44021051674,1.48944021051674
"556","2007",15,1663.2218253524,1.6632218253524
"557","2008",15,1907.61999044871,1.90761999044871
"558","2009",15,2284.23998685168,2.28423998685168
"559","2010",15,2350.64134301704,2.35064134301704
"560","2011",15,1964.50198682935,1.96450198682935
"561","2012",15,1960.33975853749,1.96033975853749
"562","2013",15,1895.08770710705,1.89508770710705
"563","2014",15,1863.52211058684,1.86352211058684
"564","2015",15,1692.85919478604,1.69285919478604
"565","2016",15,1410.39680013447,1.41039680013447
"566","2017",15,1458.55792009699,1.45855792009699
"567","2018",15,1549.55914256581,1.54955914256581
